95	Harrier	Hound	18, 22	40, 60	12, 15
96	Havanese	Toy		7, 13	14, 15
97	Ibizan Hound	Hound		45, 50	11, 14
98	Icelandic Sheepdog	Herding	18	20, 45	12, 15
99	Irish Red and White Setter	Sporting	26	50, 75	11, 15
100	Irish Setter	Sporting	24, 27	35, 70	10, 11
101	Irish Terrier	Terrier	18	25, 27	12, 16
102	Irish Water Spaniel	Sporting	21, 24	45, 68	12, 15
103	Irish Wolfhound	Hound	30, 35	105, 180	6, 8
104	Italian Greyhound	Toy	13, 15	7, 15	12, 15
105	Keeshond	Non-Sporting	17, 18	35, 45	12, 15
106	Kerry Blue Terrier	Terrier		33, 40	12, 15
107	Komondor	Working		80, 100	10, 12
108	Kooikerhondje	Sporting	14, 16	20, 30	12, 15
109	Kuvasz	Working	26, 30	70, 115	8, 10
110	Labrador Retriever	Sporting		55, 80	10, 13
111	Lagotto Romagnolo	Sporting	16, 19	24, 35	14, 16
112	Lakeland Terrier	Terrier		15, 17	12, 15
113	Leonberger	Working		120, 170	6, 8
114	Lhasa Apso	Non-Sporting	10, 11	12, 18	12, 15
115	Maltese	Toy	8, 10	4, 7	15
116	Manchester Terrier	Terrier	15, 16	12, 12, 22	14, 16
117	Mastiff	Working	30	120, 230	8, 10
118	Miniature Bull Terrier	Terrier	10, 14	20, 35	11, 12
119	Miniature Pinscher	Toy	10	8, 11	15
120	Miniature Schnauzer	Terrier	12, 14	11, 20	12, 14
121	Mudi	Herding	15	18	12, 14
122	Neapolitan Mastiff	Working	24, 31	110, 200	8, 10
123	Newfoundland	Working	26, 28	100, 150	8, 10
124	Norfolk Terrier	Terrier	9, 10	11, 12	12, 15
125	Norwegian Buhund	Herding	16	26, 40	12, 15
126	Norwegian Elkhound	Hound		48, 55	10, 12
127	Norwegian Lundehund	Non-Sporting	12, 15	13, 16	6, 8
128	Norwich Terrier	Terrier	10	11, 12	12, 15
129	Nova Scotia Duck-Tolling Retriever	Sporting	17, 21	35, 50	12, 14
130	Otterhound	Hound	24, 28	65, 125	10, 15
131	Papillon	Toy	8, 11	3, 12	13, 17
